actual.tot,pred.tot,cl.tot,aj.msep,cl.msep,mcrps
32724307.2639795,34574339.4190977,35537724.5641451,483985.289969591,88431.4315809669,5914.91673785086
33106298.4085426,33589527.8421546,36104989.2874459,416271.209296613,445633.956986627,5744.26303086063
32794556.5872708,33741271.365715,34885771.7976636,429179.298207081,222399.790404072,5814.6262599876
33567602.5879465,36151497.5340547,36834746.4008276,553120.762754194,279833.916021871,6595.25105559406
32506203.2155257,34890582.4533006,34941311.6342063,523870.917796762,173914.922191204,5927.48396285099
32860596.8906065,34010389.1703407,35720470.0872983,450502.906234467,691194.404187453,5960.6360405623
32010458.0579563,32933823.1100951,33477900.0523506,427452.38687762,743225.598168046,5975.22790756688
32914445.6152826,34277051.7227511,35600340.5308455,453491.839606971,339846.789808615,5825.5132692817
32150326.3979176,32138517.9994613,34639467.6765823,366777.828661167,429918.948082709,5216.41238604144
32511569.8159605,33316139.2675915,34836183.9586641,424056.425602713,800586.646024298,6027.91386064431
32793666.8167776,34860571.8022262,34437548.0576415,520502.642298319,572005.483058994,6053.14849820754
32079385.0737194,33327860.457269,34067858.500268,438327.967660607,324061.692090122,5896.31991045781
32298288.106262,33561376.5405684,36642250.6776471,461689.040568468,534968.342415888,5557.83881074384
33097624.4289483,33332724.0535775,34264541.4654057,420207.283042215,135400.780083888,5965.3843189305
32909395.0641308,34157866.8982561,36679202.8764817,448066.311163196,164958.918688478,5991.57228795335
32872279.523131,35623113.450135,33918394.9840529,563908.278573497,320732.372344094,6436.17433936
32549452.0453882,33817892.2752828,35531254.7780715,469793.03065838,126668.398219838,6150.41876522295
32243378.6404789,33933765.3716099,35668224.867348,489930.64787317,334927.802787051,6056.61946468372
32791118.7412093,33738649.357677,36125659.7101042,435108.77609296,288559.569540668,5638.13046510111
32584586.2235607,33742569.8160029,34487299.903543,453481.132704776,196886.21475486,5669.68285542531
