actual.tot,pred.tot,cl.tot,aj.msep,cl.msep,mcrps
46849363.0049241,46750095.2738862,51837954.2157657,357914.817863718,41882.2252174218,11699.1658885118
46222876.8590486,46589757.1473431,52808005.2354396,371013.250148898,1094420.82406088,10953.2554955378
46253499.054868,46305652.5404218,50866347.3942075,357285.831390171,1107715.81729586,11376.0148169475
46516087.125901,46851200.3790141,51430271.3053777,421823.86480018,624299.80680848,11345.7050382737
45706449.0133845,45891378.6209554,49282512.1502853,349240.262110352,493019.648767667,10213.7021746034
46473306.6523843,46935136.2665311,52661423.7146662,375224.251291142,965214.805165858,11164.1211638346
45989621.3605967,46587306.3596079,50526983.0767963,377055.051840498,722473.391419017,10857.3852046338
46751342.6538313,47282730.166407,50814565.9133885,365095.08657507,251228.549700045,10665.7214843868
45697577.1821896,45468113.0948234,50081919.9403333,322695.674533876,738630.314627478,11039.9475166973
46309843.7934385,47812922.1496736,50659035.899386,470680.291352922,153928.264557215,9929.36916488938
45795372.2051012,46348458.9349871,48723126.0628473,411071.046858395,2089749.51307369,10449.6785844205
46469162.3007082,46898033.8472948,48868997.3994023,387893.797842568,728893.469796061,11793.70835328
45499413.5957893,45968658.2487539,52023605.0187681,366845.157708046,432743.725143241,11816.0606239094
46489990.7127466,46935485.037711,49790974.2106948,424296.394572542,452162.605601964,11442.5612024253
46252963.1129047,47040817.2081223,52086670.1406592,453441.507393772,214402.373575608,11419.1054466324
46301902.6549019,46852042.0695863,50170648.4761375,397663.558970106,666675.181450727,11287.7034185002
46240743.046234,46373064.4832061,52245988.0126378,357120.155334945,331394.425715498,11176.8065228435
44915252.3058727,45397483.9005985,50463081.0357807,346039.498692125,397129.226259598,10401.0090214776
46891582.7422934,48492855.4556046,53192180.1081668,490806.730658945,211393.449638131,10335.5348805161
45586312.4826128,45936109.499514,49599104.8746659,362429.97481407,211230.983336692,10244.2883653657
